content,polarity
Lo que pasa es que  Bale  estaba haciendo todo el trabajo de  Cristiano .,P
Mendigo  Bale  se hubiera sperado a la prorroga todavia me queda chela jaja,NEU
La tercera fue la vencida!! Felicidades a  @realmadrid  por ganar la Copa al eterno rival. Gracias por regalarnos esta victoria!  #HalaMadrid,P
Una lastima que  Puyol  no pueda levantar la que hubiera sido la última  Copa S. M. El Rey  de su carrera.,NEU
A la mierda  tata  jajaja ?,N
"""Vosotros tan """"Hala  Madrid """" y yo tan """"Dame una cama.""""""",P
Como no te voy a quereeeeeeeeeeeeeeeer!  #HalaMadrid,P
@SergioRamos  ojo con la copa!! jajaaja,NEU
La  afición  del  Barcelona  pita durante el himno en la  final de la Copa del Rey :  20MINUTOS   La grada madridista  h... http://t.co/vcSdnMBhM4,N
Que no le den la copa a  Ramos  que la rompeee.,N
La copa de su majestad el Rey  es nuestra señoress!  #HalaMadrid  #VivaEsaña,NEU
Alexis Sanchez  con la camiseta de la UC en la  Copa Del Rey .,NEU
Se los dije  Madrid  GANA: La  champions (todavía falta) La  liga (todavía falta) La  copa del Rey (listo) #RMLive  #HalaMadrid,P
Ramos  que no coja la copa que la jode,N
"Esta claro que este año no es el año del  barça ... Y si, por mucho que digan claramente hay un fin de ciclo, enhorabuena a los  madridistas (1)",N
Osea tienes en el banco un señor CRACK como  song  y nunca lo mete el  TATA  le quedo grande el  Barcelona,P
"Neymar  será todo lo malo que queráis, pero hoy ha hecho mucho más que  Messi .. Lo dicho a cambiar la actitud chavales",P
Falta  Jesé ..! Pero  Casillas .. sin palabras.. se la debe! #MADRIDD!,NEU
¿y los del  barcelona ?,N
@WALDI_22 echale las culpas a  messi  q no ha echo nada,N
El  partido  lo ha ganado quien lo ha merecido durante más tiempo. Aviso:  Xavi  no piensa lo mismo.,NEU
600 millones por  Neymar . Barato,NEU
#FinalCopaRelRey  el  Real  sigue siendo el rey  #HalaMadrid,NEU
¿y que paso con  messi ?,N
"“@JuanCadenaRico: —Abuelo, ¿qué es ganar?  —No sé hijo, nosotros le vamos al  Barcelona .” ????",N
"Y ahora que vendrá el oscurantismo para el  Barcelona , a donde irán todos los pseudo aficionados del barsa? Cuál será la nueva tendencia?",N
@JeseRodriguez 10 éste título también es tuyo disfrútalo campeón!!!,P
El unico que merece la Medalla es  Bartra,P
La diferencia está en que unos fichan a  Bale  y otros a  Alexis  y  Song ....,P
Ramos  diciendo que son 3 putos importantes en 3...2...1....,NEU
#HalaMadrid  ganamos sin  Cristiano . .perdéis con  Messi . Hala  Madrid ! !!!!!,P
@Dave_R19 Igual de lamentable el intento de patada de  Ramos .,N
Puro  Barcelona  guste a quien le guste!,P
@nevermind2192  Barça  por siempre!!,P
"#FinalCopa  Hala  Madrid , hala  Madrid , campeón de la  copa del rey",NEU
La deportividad de  Ces Fabregas  quitándose la medalla del cuello nada más ponérsela el Rey,N
Ramos  dedicandole la copa a el Fary que falleció hace dos semanas segun el,NEU
"""Partidazo  real madrid  vamos campeones:-):-);-)""",P
"Enhorabuena al  Real Madrid . Bien  Barcelona , a superar esta pequeña crisis #ViscaBarca",P
"Ojalá  Florentino  invite a  Neymar  ,  Messi  y a  Pinto  a Cibeles ellos también se lo merecen.",NEU
@grandemimadri  alves  q chingue a su madre el hijo de puta,N
@JuanMalaga2011 No confundamos la velocidad con el tocino. O quieres decir que ganamdo el  Barça  hubiera sido el triunfo de las libertades...,NEU
"Cristiano  con gorra es algo que.. *.*  Y  Ramos ,pffffff",N
Neymar  es como juega Brasil con espacios a la contra.,NEU
""" LA COPA DEL REY  ES NUESTRA!! Hasta el final vamos  REAL !! #RealMadrid ;),)""",NEU
Y sin  Cristiano  para que mas les duela señores! HALA  MADRID .,NEU
Veo q viene  Bale  encarrerado y me hago el lesionado mejor,NEU
@MatiToth vos pensas que a el y al  tata  le importa más la  copa del rey  que el mundial?,NEU
"Buuenoo pos sii ole olee y olee q a ganao el  Madrid , como corre  Bale  la ostiiaa, vamoss!!",P
"Con  Casillas  los palos están a nuestro favor, ya podéis hablar de inyusticias catalanes",P
Desde la epoca de El Buitre  Butragueño  ¡HALA  MADRID !,NEU
Lo mejor el abrazo de  Cristiano  y  Bale . Son amor:3,P
"@santifernandezg Santi, no todo es culpa de  Pinto  creo yo, porque la defensa que tiene el  Barça  es peor que Rami-V.Ruiz con diferencia...",P
""" Sergio Ramos : """"estoy buscando un capote y cuando lo tenga daré unos pases.""""""",NEU
"A ver  tata ...sabes que  bartra  esta con problemas fisicos, por que no le has cambiado la posicion por  mascherano ... 1/2",NEU
"Atención a la foto que ha puesto @elmundoes para ilustrar la victoria del  Madrid .  Arbeloa ,  Benzema  y  Ozil  :) http://t.co/FHeQHI7Ke3",NEU
Por un momento creí que valimos verga. Pero no es así cuando el  Madrid  juega futból.  #halaMadrid,P
Por cierto  partidazo  de  messi  yo creo que  pinto  este  partido  le gana en km realizado jajajajajjajaja,P
lo mejor  real madrid   copa del rey,P
Al  Madrid  le va a durar la copa el tiempo que  Sergio Ramos  tarde en tirarla....,NEU
"Que no se la den a  Ramos  en el autobús, por favor.",NEU
Yo soy Cule...pero se reconocer a un justo vencedor...felicito a los merengues...solo espero que no le den la copa a  Ramos,N
"@LauuuraLuuucas: SI SI SI, LA  COPA  ES DEL  MADRID !! si si esperaté a ver si se le cae a  Sergio Ramos  ????",NEU
Neymar  más salado que el culo de la sirenita...,NEU
Enhorabuena y gracias  madridistas . Habéis sufrido con el  Barça  más pésimo que he visto en mucho tiempo y haréis que echen a la mitad.,P
Ramos  el puto amo con la bandera mitad de España y de Andalucia,P
"Por favor, que le pregunten a  Alves  o a  Xavi , quiero ver cual será la excusa de esta derrota!!! #Valors #Lamentabla",N
Ver la cara de decepcion del enano dopado de  Messi  no tiene precio ja ja  #HalaMadrid,N
"Además el gol de  Bale  en los últimos minutos, cuando más jode jajaja",P
Nada tendrá sentido si no entrevistan a  Xavi  y dice que han sido superiores...,N
"Necesitabamos a  CR7 ? Tal vez para sentenciar, pero no fue factor influyente!",NEU
Valio la pena el dinero por mi  Bale,P
Ramos  esta ves no te cargues la copa XD,NEU
Solo una cosa  RAMOS  no tires la copa jajajaja,NEU
"@diarioas: El  Real Madrid  gana 2 - 1 al  FC Barcelona  la  final de la Copa del Rey . Goles de  Di María ,  Bartra  y  Bale . http://t.co/pnZJk18GmZ",NEU
"Sieeeeeempre contigo mi  Barcelona , en las malas y buenas ¡Visca Barca!",P
@tonintorero vengaaa dale el capote a  Ramos  !!!,NEU
@RealMadrid   campeón de la  Copa del Rey  2013-2014. http://t.co/q5yTqWLYTi,NEU
Esto es lo que pasa cuando al  barça  no le regalan penales!,N
#CopaDelRey :  Ancelotti  venció por primera vez a  Martino . Por  Liga  fueron derrotas (2-1 en Nou Camp y 4-3 en Bernabeu),NEU
Alves  ya no aporta nada. Pierde muchos balones y no baja a defender. Puerta. Necesidad de un delantero puro y un entrenador con pizarra.,N
@jesusportero1: Cuantas excusas ponen los del  barça  asumid que habéis perdido y ya está! k sois unos perdedores catalufoooosss jajajajajaj,N
"-El céspet estaba alto y seco. Nunca nos dominaron, tuvimos la posesión. - Sí,  Xavi , despeja, por favor, viene el Campeón por su Copa.",N
""" Real Madrid  campeon de la  Copa del rey  Rey <3""",NEU
Abran paso al Campeón!! Aquí viene el  REAL MADRID !!!!,P
Hazme el favor y no tires la Copa anda.  @SergioRamos,NEU
"Yo quiero la camiseta de  Messi  de este  partido , no estará  ni sudada, no hay que lavarla jajaja !!!",N
Si  Neymar  y el Enano tienen vergüenza no van a agarrar esa medalla... Al igual que el  Tata Martino,N
A la mayoria de jugadores del  Barça  lo único que les importa es cobrar el proximo mes en cambio nosotros lo sentimos como nadie.,NEU
"El  barça  se ha pasado a la SIN,  sin  liga , sin  Champions  y sin  copa !!!   #FinalCopa  Hala  Madrid !!!",N
"- perdió el  Barcelona , era de saberse. http://t.co/1I6bxXIyfh",N
¿Eres un  madridista resentido ? ¿ ioras de felicidad porque habéis visto la virgen con el palo de  Neymar ?,N
Sergio ramos  este año nos gustaia tener la copa sin romper,NEU
Increíble lo de  Bale . Vale lo que costó y demostró que puede ser líder.,P
"Donde tan los barcelonistas ......... habla Juan  ,.......real  @Realmadrid  es el mejor papa",P
Sergio Ramos  con la bandera de andalucía-españa #grande,NEU
"Enormes  isco ,   benzema  y  dimaria  y decisivo  Bale , estos son los goles que valen",P
Siiiii genial otra mas para la colección!!!!!  @realmadrid,P
"""Merecidos campeones  @realmadrid . Se acabó la """"moda"""", solo existen los equipos con historia.""",P
#HalaMadrid  Ganamos sin tener a  @Cr7  y aun asi dicen  que no somos grandes ?  CAMPEONES OTRA VEZ :3,NEU
No se que me alegra mas que el  Madrid  sea campeón de la  copa del rey  o que le hayan ganado al  Barça  JAJA,P
"Enhorabuena al  real madrid , ha sido superior y merecedor de ganar. Aun asi siempre estare orgulloso del  barça !! Visca barça!! #siemprecule",P
Real Madrid  ??? Campeon de la  COPA del Rey !! ?? sorry  Barca  #sorrynotsorry,P
la casi suplencia del  madrid  le gana a la titular del  barcelona ...,NEU
Gane o pierda  barça  hasta el fin de mis dias!,P
Ramos  hoy es tu dia! #tiralacopa,P
"Aún digo en shock por el golazo increíble de  Bale . En serio, pero qué puto golazo por dios...   #FinalCopa   #HalaMadrid  #Campeones",P
@andrea_labella7: Lo catalanes no saben perder.  @RealMadrid,NEU
Gareth Bale  corrio 46 metros en 8 segundos es decir 12.7 metros por segundo.  El 3 jugador mas rapido del mundo.  El Tercer Tiempo- ETT,P
"""Jajajaaj saben que me da mas risa que los cule? Una gente twiteando  #HalaMadrid  #ganamos sin saber es que """"hala  madrid """" que fuerte.""",P
"@AdrianHippy: Reíros ahora  madridistas , que ya me reiré yo cuando el  Bayern  os deje el culo como la boca del metro",N
Los culés de mi tl están más ausentes que  Messi  en el  partido  de hoy xd.,N
Y como no t voy a querer... Hala  Madrid !!,P
Menos mal que la copa se ha quedado en ESPAÑA!!!  #HalaMadrid  ????,P
CR7  hizo mas en la banca creo que  Messi  en el campo.,P
* corre como  Gareth Bale . ** cualquier ladrón por la décima.,NEU
@flor_quilo defender con 7 papito.  Isco  mas que un media punta parecía una especie de 5. #Asco,N
"#CopaDelRey  Para  Ancelotti , la confirmación de que la fórmula para ganarle al  Barcelona  la tiene, y de distintas maneras. No es un logro más",NEU
Messi  a delirao todo el  partido .....,N
Campeones de la  Copa del Rey !! Porque hay algunos que somos del  Madrid  porqe nacimos siendo del Madrid en el corazon  #HalaMadrid   #RealMadrid,NEU
Que malo es  Pinto  y el  Tata  también. Bendito palo ja.,N
di maria  el angel del madrid,P
"Bale , sin palabras para este jugador",P
Deben agradecerle a  Messi  por haber insistido en llevar a ese director tecnico tan malo... se acuerdan que por el llego al  Barca ? Ah?,NEU
"""Y sin  CR7  como la vez ;)""",NEU
Real Madrid  triunfa y se alza con la  Copa del Rey  acrecentando la crisis del  Barcelona  http://t.co/DLfZnLh0j7,P
""" @SergioRamos  y sus capotes ole """"un  partido  con mucha tensión, 1 noche mágica"""" #Halamadrid lo sabía yo, confío mucho en vosotros!  @realmadrid """,NEU
Mencion especial a  Gareth Bale . Mira ke le dieron palos por los 100 millones la hernia el egoista...hoy tapando bocas el expresso de Cardiff,P
"-Tú -Yo -La copa del Rey -No  Ramos , tú y la copa no.",NEU
"Buscaría en el almacen de tweets ventajistas, pero no. Cuando el  Barça  ha necesitado a  Messi . Este se ha paseado.",NEU
Yo en realidad quería que ganase el  Madrid  para que a  Ramos  coja la copa en el bus.,NEU
Que buen regalo de cumple me ha hecho el  @realmadrid,P
"Ser del  Barcelona  y tener un novio del  Madrid  escarda, hacedme caso!!!! ??",NEU
"Veo al  Barça  falto de hambre, creo que a muchos su ciclo se les acabó ya. Pero, ¿como renovar el hambre de quienes lo ha ganado todo?",N
"Que digais de  Casillas  ok. Pero  Bale  solo ha tenido que correr, se lo han dejado a huevo.",P
"""@PasionFCB:  Andrés Iniesta : El que es culé, quiere al  Barça  cuando gana y cuando pierde"""". http://t.co/TN5CzusZ1t"""" Dale Barçaa ?""",NEU
Sergio Ramos  hablando y yo deseando que la copa no se le caiga :)),NEU
"""Más que un equipo HALA  MADRID  <3 http://t.co/5GnL8BFi3e""",P
A todos los  barcelonistas :  Real Madrid  campeón! En sus caras! Se acabo la MODA! Hala Madrid!!!,NEU
@NicoleM13_ wtf yo no soy  madridista  ... pero es mi fav de europa,P
@Joanbarriach: Dar la enhorabuena a todos los talibanes del estilo y a los  madridistas  de bien que pululan por mi TL.,P
Que alguien se ocupe de recoger el pene de  Bale  de Mestalla pls,NEU
Vamos ahi mi  Ramos  con la bandera de España y de Andalucía!,P
? Pase lo que pase siempre apoyare a mi equipo  BARCELONA   ???,P
@DiarioExtraEc: #Extradatos: El  @RealMadrid  no pierde finales consecutivas de   #CopaRelRey  desde 1959-60 y 1960-61,P
Mira que hay cosas hediondas en este mundo pero como  Dani Alves ...vuelve al árbol del que bajaste.,N
No olvido TODO lo que  Messi  ha dado al Barcelona...sólo pido la verdad...está lesionado?? Es una seguidilla de  partidos pésimos ??  Alguien??,N
Que no le del la copa a este tío   #FinalCopa   @SergioRamos  http://t.co/yHk1HKO4JG,NEU
Por una vez he de reconocer que  @Cristiano  ha hecho  mejor partido  que  @Messi .   #FinalCopa,P
"Como no te voy a querer, como no te voy a querer!! CAMPEONES!!! Hala  Madrid !!",P
Llegó el fin de la era del mejor equipo del mundo...solo quedará grabada en la historia como una leyenda.  Barcelona,N
"En el  Barça  defienden 5, los otros 5 esperan el balón para tocarlo. Asi no se puede, y menos contra el  Madrid",N
Bale  te mereces un folladon madrileño en toda regla . Me ofrezco,P
El  Madrid  sigue segundo es verdad pero es el vigente Campeón de  Copa  Hala  Madrid,P
Un capote para  sergio ramos  por favooó!,NEU
Messi  no hizo un bicho hoy y  Pinto  en el 1er gol la cago,N
"¡Hasta el Final, Vamos  Real ! This THE REAL of a Winner  Copa Del Rey   #HALAMADRID",P
"Es un pájaro?? Es una avión?? No, es  Martino , volando, por la patada en el orto q le van a pegar.",N
"@Shout_Number33 no pretendo darte envidia, pero tengo grandes motivos para sospechar que  Xabi Alonso  vive en mi barrio de Madrid.",NEU
@mundodeportivo Jama pense q diria esto pero hemos perdido x  Messi . Su falta de entrega es lo q inicio la jugada de gol.,N
Ramos  solo te pido una cosa. No tires la copaaaa?? #  HalaMadrid,NEU
"—Hijo ¿Cómo se dice  Barça  en Japonés?  —No sé abuelo, ¿cómo?   —Chin  Chan Pion li , Chin  Copa  y Chin  Li Ga .",NEU
"@MarcBartra91  fue el unico que le hecho ganas, medio lesionado y todo. GRANDE!",P
"Si  cristiano  juega hoy nos meten 4!! el  madrid  es asi, sus ganas de ganar son unicas como el Atleti",NEU
A chuparla er Arturo Mas k le den si no kereis na de España no me gustan ninguno pero a elegir  Madrid  campeon enhorabuena a los  madridistas .,P
El titulo de los 100 M€ para el  Real Madrid .  Gareth Bale  les dio el primer titulo de la temporada al Real Madrid. PAGADISIMO EL GALES.,NEU
Ramos  por tus muertos no tires la copa!!!,NEU
Gracias por todo  @realmadrid  TE AMO?,P
Campeones!!!!???  Hala  Madrid !! Aquí con la hinchada del #debateSV5 y @pascualprincipe Empezamos a las 23:37 http://t.co/niFQ5Bcs3I,P
@2010MisterChip reproches a  Bartra  por lento... yo diria que  Bale  a sido un cohete en el min 85,N
Si  Real Madrid  Campeon de la  copa del rey   :-),P
"Pos eso, que estaba claro... #Gana Madrid",P
Grande  Bale ..!! Pa los q decían q no valia lo q pagaron por el...,P
Me lleva la chingada pero ni modo  Barça  hasta el final y  merengues  bien ganados. #mecuelgo,P
""" Barça  me has roto el corazón #FCBLive  @FCBarcelona_es :,( </3""",N
Ramos  ídolo con la bandera española-andaluza,P
"Pues nada, felicitar a el  Real Madrid .",P
"""esta demás decir que el  Madrid  es grande con o sin  cr7 >>>>>""",P
"Muchas felicidades a todas y todos los  madridistas  por la  copa del rey , ganada merecidamente.",P
@cdemeer98: Cuidado con la copa  Ramos  veras.. @SergioRamos,NEU
Y por cierto me vale Pij@ el  Barcelona  y  Real Madrid,N
Siempre confie en que la  #CopadelRey  era nuestra!Grande  @RealMadrid  como no te voy a querer!? aunq no vi el  partido  pero felizzz  #HalaMadrid,NEU
es que... que gol el que se echo  Bale  !!!,P
@Troyanoyoya por baño entiendo otra cosa y atribuirle el exito a  Ancelotti  pos tampoco,N
Vamos campeones!! Hala Madrid  Hasta la muerte.,P
Y hoy  bale  le cerro la boca a todo el mundo.  #HalaMadrid,P
@LeoNoSoy_:  Fanáticos del  Barcelona  en este momento. http://t.co/LEs07u5kXTjajajajajajajajajajajajajajajajajajajajajajaja,NEU
Y mira que el  barsa  ha dado penilla pero lo de  Pinto  es de otro nivel,N
A  Montoya  se le olvidaba la bandeja para la propinaaa ?,N
Ahora twitter se desborda de niñas de 14 años que ven un  partido  al año y son del  Madrid  o del  Barcelona  a muerte xd,NEU
Yo creo que  Messi  corrió igual o incluso mas que  Bale  o  Di María  JAJAJAJAJA #Ironia,N
"Era hora que le bajen el copete al  Barcelona , ya quedaron afuera de la UEFA, dificil tienen la  liga , y perdieron  copa del rey ...",N
El  barça  es el mejor equipo del mundo y punto .,P
@MarcBartra91  tienes un futuro enorme! Que la jugada del ultimo gol no empañe nada! Eres espectacular!,P
"Me importa un pepino lo que digan,  Barça  te amo con mi vida.",P
"Usted siga venerando a su  Messi , que yo me quedo con un equipo COMPLETO, SOS UN CAMPEÓN  REAL , GRANDE.",NEU
"GRACIAS MI  @realmadrid   por hacer que mi corazón lata a mil por hora, gracias porque la piel se me eriza cada vez que juegas, gracias!!!!",P
Otra copa más levantada por  Íker Casillas !,NEU
¿Que? ¿Que el  Madrid  no es nada sin  Cristiano ? Perdoname pero es que sólo oigo a los  madridistas  celebrar la victoria de la  Copa del Rey .,NEU
No pasa nada  Barcelonistas ....os queda la #copacatalunya .  #HALAMADRID !: me siento entusiasmado,N
Este es mi  Real Madrid  :),P
¡Que coja la copa  Ramos !,NEU
Por lo menos los jugators del  barça  se quedan a ver levantar la copa xd,NEU
Laaaa copaaa es blancaaaaa!!!  #HalaMadrid,P
@lorenita_00_: El unico que me gusto jugando del  Barca  fue  Bartra,NEU
"@Mariangeles_3 María Ángeles mañana a  Cibeles  o hoy o cuando sea jajajajajaja , HALA  MADRID",NEU
@rfef: ¡¡FINAL EN MESTALLA!! El  @realmadrid  se proclama CAMPEÓN de la  Copa de SM el Rey  al vencer 1-2 al  @FCBarcelona_es  |  #FinalCopa,NEU
Cuando  Pinto  ha subido a rematar el corner ha recorrido mas metros que  Messi  en todo el  partido . Y hoy no se puede esconder bajo el cesped.,P
El  Madrid  lo  BALE !,P
@RealMadrid  Campeón de la  Copa del Rey !,P
Esperando pa ver a  Sergio Ramos  con un capote... *-*,NEU
El consuelo que nos queda es ver qué trastada hace  Sergio Ramos  con la Copa.,NEU
"""Todos preocupados por el """"bajo"""" rendimiento de  messi  y la respuesta es facil YA NO SE ESTA DOPANDO no quiere que lo descubran como Maradonna""",N
"Enhorabuena a todos los  madridistas  en especial a la  madridista mas guapa  de todas , un beso preciosa @Elena_Alberdi",P
"Si al  Barcelona  no le dejan fichar para la siguiente temporada, entrar en  Champions  sera un lujo.",NEU
"Hoy no aparesio   messi  por culpa del arbitro, lastima",N
Bale  antes quisas era mañoso xd,NEU
""" Özil  felicitándonos, y quieren que no lloren? Como lo amo a el y a mi equipo<3 #HalaMadrid""",NEU
Lastima que el  madrid  tiene  Cristiano  dependencia.,N
Catalanes  para la próxima sera hala  Madrid,N
"Si perdia el  Madrid , los  Madridista  tenian en el Draft #RoboAlMadrid Te quiero mas que nunca, etc",NEU
@MarcBartra91  eres un grande tío!!! Tienes dos pares.....,P
¿Entonces fue mejor el fichaje de  Bale  que el de  Neymar ?,NEU
Se quitan los jugadores del  Barcelona  la medalla porque lleva la bandera de España? #malpensao,NEU
En las próximas horas vendo a  Gareth Bale  por un precio muymuy económico. Bale normal: 300k Bale IF: 1M Bale SIF: 1'5M,NEU
"""Campeón de la  Copa del Rey  se llama ! Real Madrid  C.F!<3 HALA MADRID<3  Sos mi alegría, sos mi vida<3""",NEU
El error de  Martino  es dejar que los de arriba tomen decisiones por él en el equipo.,N
@estefany2495:  @SergioRamos  gracias a ti por alegrarnos la noche ?? @LuciaGarciaJov,P
Ahora a aguantar a toda la negrada con playeras del  Real Madrid  como si del cuerpo técnico.,NEU
Según Varsky todos tienen la culpa de la derrota menos  messi  !!!!!,NEU
@nicoltcuellar jajajajajajaja yo? Que se muera  barcelona  que este año no hizo un hpta! Jajajajajajajajajajajaja,N
Sos un Gran Equipo  Barcelona ???,N
La  afición del Barcelona  pita durante el himno en la  final de la Copa del Rey :  20MINUTOS  La grada  madridista  h... http://t.co/uzFaM3gWlU,N
Puyol  y  Fábregas  se quitan la medalla nada más recibirla de manos del Rey #humildat  #HalaMadrid,N
Carvajal  tiene voz de comentarista de la Premier   #FinalCopa,P
Se hecha de menos a  @JeseRodriguez10  esta victoria va por ti! :),P
"Pinto  malparido un tu puta madre que te pario, arranca de esa vergaa o te mandamos a los que mataron a Andres Escobar, tanga hptaaa",N
Grande  Bale ! Grande  Iker  y el poste!  #HalaMadrid    #CopaRelRey  #Campeones #solamente,P
"Yo si hubiese sido  Bartra  acababa expulsado, ahí le meto un empujón a  Bale  que se acuerda de mi.",NEU
por lo menos el  barcelona  tiene una deportividad q al  madrid  le falfa.... y aceptan la derrota,P
¡No le den la copa a  Sergio Ramos ! No quiero que la vuelva a tirar :( ¡Hala  Madrid !,N
Casillas  el mejor no hay mas!!,P
"Todo esto que le está pasando al  Barça  es por el aferre de no alinear a  Puyi , bravo  Tito , bravo ?...",NEU
Ojalá Argentina quede eliminada en la fase de grupos. A  Messi  este año que le pague la Federación Argentina. Muy poco profesional,N
"@elchiringuitotv vaya cagada de  casillas ,vete ya topo",N
@realmadrid  ole Vamossss los mejores,P
Ninguno del  Barça  tiene la medalla del 2do puesto.,N
"""Ni culpa de  Messi , ni  Bartra , Ni el  TATA  ;D Aqui no buscamos culpables, Badrilistas""",NEU
"Lo de que  Messi  iba como en procesión, ya está dicho?   #FinalCopaRelRey",N
Ya hemos ganao la  copa  pero que no la coja  S.Ramos .... jajjajaaja ?,P
"Golazo del Príncipe de Galés, Vamoooooos q grande mi  Real Madrid   #HalaMadrid  siempre con este equipo a muerte",P
"Mas nunca me hago el corte de cabello de  Gareth Bale , ahora me hago el de  Marc Bartra",P
"Eso es.  Real Madrid , siempre fué mejor, siempre lo será.",P
"Bueno pero no se enojen,  Real madrid  ?#HalaMadrid ??",P
"Su majestad llegó a tiempo al  partido , pero  Messi  nunca llegó jajajaja @FJ20MJ @jensyreyesk @MarthI93_",NEU
Visca el  Barça,P
Iker Casillas  humildad respeto y sobre todo gran futbolista,P
con  cr7  o sin el el  madrid  es el madrid asi de sencillo.!! no dependemos de alguien cuantos farcelonistas ardidos.??? jajaja,NEU
"Ramos  no agarres la copa, por favor y gracias.",NEU
Hay esta el xq de la decision de q  casillas  juegue la  copa  y la  champions .... La flor en las finales... El mejor portero de españa,P
"eres del  barça  ganar o pierda — claro, porsupuesto http://t.co/nwdl1cjDpU",NEU
"A chuparla ostia, habla hoy  Xavi , estaba mal hoy el césped también..",N
"""Un equipo una ilusion  Real Madrid  campeon <3 http://t.co/RcgF9qxZSJ""",P
"Estoy en galilea, y cuando ha marcado  bale  he pegado un grito que se a escuchado hasta en palma.",NEU
"Bale, Bale, Bale, Bale, Bale, Bale!!!! Bale y su gol de 100 millones!! Primer titulo gracias a él!! Grande  Bale !!!  #HalaMadrid",P
Messi  sigue perdido desde hace 4  partidos,N
"Con estos goles,  Real Madrid  se quedó con la  Copa del Rey  2013-2014 http://t.co/pk2mSlJMPM",NEU
"Eh eh, los que decíais que sin  Cristiano  no hacíamos nada, me vais a comer el coño. Todos. Así que ale, en fila.",NEU
Ey que los del  Barça  se quedan mirando. Ya tienen algo de que presumir,N
Soy del  Madrid  pero ojala  messi  recupere su nivel esos cracks no pueden desaparecer,NEU
Algún día  Pinto  ganará algo. Aunque sea por perseverar.,NEU
El césped estaba tan alto que ha tapado a  Messi .,N
"Con un golazo de  Bale   Real Madrid  se corono campeón, les dejamos la cronica. http://t.co/RvE9m2pIKz",P
"""Este es el  Real Madrid  <3""",NEU
Vosotros sabeis cuanto le pagaran a  Ronaldo  por llevar la gorra?,NEU
"@Torrado0488 felicidades al  Madrid , fueron mejores. Y listo.  Esto es más parecido al  Barça  de años,",P
"Yose que El  Real Madrid  es un buen equipo, pero su cancion no me gusta:(  Yo les voy a componer una jajajaxD",P
Y otra para  Real Madrid,NEU
¡¡¡¡¡¡¡Campeones de la  copa del rey !!!!!!!! ¡HALA  MADRID !,P
